"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"BQ1","FC-12M","90.551mm","89.662mm","90.551mm","89.662mm","90.551mm","88.837mm","T","90.00","Crystal"
"BQ2","403C11A32M00000","77.418mm","87.8195mm","77.343mm","87.757mm","78.468mm","88.557mm","T","180.00","Crystal"
"C1","0402","92.837mm","94.869mm","92.837mm","94.869mm","92.837mm","95.369mm","T","270.00","Capacitor"
"C2","0402","93.853mm","94.869mm","93.853mm","94.869mm","93.853mm","95.369mm","T","270.00","Capacitor"
"C3","0402","86.36mm","86.614mm","86.36mm","86.614mm","85.86mm","86.614mm","T","360.00","Capacitor"
"C4","0402","79.756mm","95.758mm","79.756mm","95.758mm","79.756mm","95.258mm","T","90.00","Capacitor"
"C5","0402","80.899mm","95.758mm","80.899mm","95.758mm","80.899mm","95.258mm","T","90.00","Capacitor"
"C6","0402","88.519mm","93.853mm","88.519mm","93.853mm","88.519mm","93.353mm","T","90.00","Capacitor"
"C7","0402","89.535mm","93.853mm","89.535mm","93.853mm","89.535mm","93.353mm","T","90.00","Capacitor"
"C8","0402","90.805mm","86.614mm","90.805mm","86.614mm","90.305mm","86.614mm","T","360.00","Capacitor"
"C9","0402","90.805mm","87.63mm","90.805mm","87.63mm","90.305mm","87.63mm","T","360.00","Capacitor"
"C10","0402","87.503mm","77.597mm","87.503mm","77.597mm","87.003mm","77.597mm","T","360.00","Capacitor"
"C11","0402","87.503mm","78.613mm","87.503mm","78.613mm","88.003mm","78.613mm","T","180.00","Capacitor"
"C12","0402","87.503mm","79.629mm","87.503mm","79.629mm","88.003mm","79.629mm","T","180.00","Capacitor"
"C13","0402","77.724mm","75.057mm","77.724mm","75.057mm","77.724mm","74.557mm","T","90.00","Capacitor"
"C14","0402","78.994mm","75.057mm","78.994mm","75.057mm","78.994mm","74.557mm","T","90.00","Capacitor"
"C15","0402","80.137mm","75.057mm","80.137mm","75.057mm","80.137mm","74.557mm","T","90.00","Capacitor"
"C16","0402","83.947mm","70.739mm","83.947mm","70.739mm","83.947mm","71.239mm","T","270.00","Capacitor"
"C17","0402","85.217mm","75.565mm","85.217mm","75.565mm","85.717mm","75.565mm","T","180.00","Capacitor"
"C18","0402","85.344mm","73.406mm","85.344mm","73.406mm","85.844mm","73.406mm","T","180.00","Capacitor"
"C19","0402","85.725mm","71.247mm","85.725mm","71.247mm","86.225mm","71.247mm","T","180.00","Capacitor"
"C20","0402","92.71mm","88.773mm","92.71mm","88.773mm","93.21mm","88.773mm","T","180.00","Capacitor"
"C21","0402","92.71mm","90.551mm","92.71mm","90.551mm","93.21mm","90.551mm","T","180.00","Capacitor"
"C22","0402","86.995mm","95.377mm","86.995mm","95.377mm","87.495mm","95.377mm","T","180.00","Capacitor"
"C23","0402","80.01mm","88.9mm","80.01mm","88.9mm","80.01mm","88.4mm","T","90.00","Capacitor"
"C24","0402","78.486mm","89.916mm","78.486mm","89.916mm","77.986mm","89.916mm","T","360.00","Capacitor"
"C25","0402","76.327mm","89.916mm","76.327mm","89.916mm","76.827mm","89.916mm","T","180.00","Capacitor"
"L1","0402","92.837mm","97.282mm","92.837mm","97.282mm","92.837mm","97.782mm","T","270.00","Inductor"
"L2","0603","87.122mm","82.296mm","87.122mm","82.296mm","87.122mm","83.071mm","T","270.00","Inductor"
"L3","0402","81.915mm","75.565mm","81.915mm","75.565mm","82.415mm","75.565mm","T","180.00","Inductor"
"L4","0402","83.566mm","75.057mm","83.566mm","75.057mm","83.566mm","75.557mm","T","270.00","Inductor"
"L5","0402","83.693mm","72.898mm","83.693mm","72.898mm","83.693mm","73.398mm","T","270.00","Inductor"
"L6","0402","88.519mm","86.614mm","88.519mm","86.614mm","89.019mm","86.614mm","T","180.00","Inductor"
"P2","HDR2X5H","72.517mm","94.107mm","71.247mm","99.187mm","71.247mm","99.187mm","T","270.00","*"
"P3","DIP14","84.582mm","103.886mm","92.202mm","105.156mm","92.202mm","105.156mm","T","270.00","Header 7X2"
"R1","0402","79.502mm","80.899mm","79.502mm","80.899mm","79.502mm","81.399mm","T","270.00","Resistor"
"R2","0402","93.98mm","80.264mm","93.98mm","80.264mm","94.48mm","80.264mm","T","180.00","Resistor"
"R3","0402","93.98mm","82.169mm","93.98mm","82.169mm","94.48mm","82.169mm","T","180.00","Resistor"
"R4","0402","79.629mm","77.851mm","79.629mm","77.851mm","79.129mm","77.851mm","T","0.00","Resistor"
"R5","0402","78.105mm","80.899mm","78.105mm","80.899mm","78.105mm","81.399mm","T","270.00","Resistor"
"R6","0402","76.581mm","80.899mm","76.581mm","80.899mm","76.581mm","81.399mm","T","270.00","Resistor"
"R7","0402","91.694mm","82.169mm","91.694mm","82.169mm","92.194mm","82.169mm","T","180.00","Resistor"
"R8","0402","91.694mm","80.264mm","91.694mm","80.264mm","92.194mm","80.264mm","T","180.00","Resistor"
"R9","0402","91.186mm","85.598mm","91.186mm","85.598mm","90.686mm","85.598mm","T","0.00","Resistor"
"R10","0402","76.073mm","95.25mm","76.073mm","95.25mm","75.573mm","95.25mm","T","360.00","Blob"
"R11","0402","84.201mm","99.949mm","84.201mm","99.949mm","84.201mm","99.449mm","T","90.00","Blob"
"R12","0402","85.217mm","99.949mm","85.217mm","99.949mm","85.217mm","100.449mm","T","270.00","Blob"
"R13","0402","81.153mm","99.949mm","81.153mm","99.949mm","81.153mm","99.449mm","T","90.00","Blob"
"R14","0402","82.169mm","99.949mm","82.169mm","99.949mm","82.169mm","100.449mm","T","270.00","Blob"
"R15","0402","71.374mm","101.981mm","71.374mm","101.981mm","70.874mm","101.981mm","T","360.00","Blob"
"R16","0402","87.122mm","99.949mm","87.122mm","99.949mm","87.122mm","99.449mm","T","90.00","Blob"
"R17","0402","88.138mm","99.949mm","88.138mm","99.949mm","88.138mm","100.449mm","T","270.00","Blob"
"R18","0402","94.615mm","103.505mm","94.615mm","103.505mm","94.615mm","103.005mm","T","90.00","Blob"
"R19","0402","95.631mm","103.505mm","95.631mm","103.505mm","95.631mm","104.005mm","T","270.00","Blob"
"R20","0402","78.359mm","98.425mm","78.359mm","98.425mm","78.359mm","97.925mm","T","90.00","Resistor"
"SC1","BMIS_202_F","81.1405mm","76.7455mm","81.153mm","76.708mm","74.803mm","84.858mm","T","0.00","BMI-S-202-F"
"U1","QFN40","84.201mm","90.678mm","84.201mm","90.678mm","86.451mm","93.703mm","T","270.00","CC2530F256"
"U2","QFN16","83.82mm","78.867mm","83.82mm","78.867mm","84.795mm","80.817mm","T","270.00","CC2592"
"A1","F_ant","85.598mm","68.072mm","84.709mm","68.199mm","84.455mm","67.945mm","T","180.00","ANT"
"R21","0402","73.152mm","103.378mm","73.152mm","103.378mm","73.152mm","103.878mm","T","270.00","Blob"

